num_regular_instances,num_regular_services,ds,num_illfitting_instances,num_illfitting_services,num_regular_deprecation,num_illfitting_deprecation,num_regular_creation,num_illfitting_creation
9010697,6581,2022-01-13,406540,7750,0,295,7,193
8051731,5682,2021-06-07,295018,11989,8,80,14,264
8654074,6146,2021-09-26,368254,10553,7,121,0,120
9060776,6576,2021-12-22,484427,8092,0,274,5,187
9336911,6896,2022-04-22,584467,8461,0,492,11,599
9011419,6572,2022-02-02,393616,6427,10,329,14,391
9431232,6925,2022-05-08,577793,7541,2,433,0,303
9338614,6886,2022-04-23,569919,8033,0,263,6,339
9007541,6555,2022-02-13,376274,6091,13,177,0,207
9257047,6847,2022-04-09,569748,7891,2,313,6,506
8257037,6193,2021-09-10,425559,10885,13,212,20,200
7614407,5692,2021-04-18,182897,5987,2,8,0,15
9165754,6702,2022-03-20,476504,7597,2,228,5,186
9227047,6840,2022-04-05,548915,8436,6,724,2,186
10704526,7417,2022-11-06,1056475,11348,5,376,7,273
10351661,7245,2022-09-24,868276,10014,0,0,1,271
9547575,7112,2022-06-15,656633,8969,6,536,43,469
9685063,7178,2022-08-06,806017,10072,0,351,8,421
8738222,6169,2021-10-01,398651,10725,3,646,14,254
8090718,5740,2021-07-04,317205,10147,3,54,2,80
9007258,6547,2022-02-17,370251,5831,2,332,20,440
9007541,6555,2022-02-11,378057,6118,0,346,10,309
10508964,7318,2022-10-16,970812,11441,3,420,1,403
8107166,5700,2021-06-08,305808,12147,3,13,13,312
9563877,7026,2022-07-02,674644,9402,0,405,1,346
9472751,7013,2022-07-05,660806,9449,5,391,14,367
10693838,7431,2022-11-10,1060542,12054,2,323,15,416
10373750,7283,2022-10-01,877674,10226,0,230,3,369
8992071,6578,2021-12-21,390040,8054,1,149,7,208
10039087,7203,2022-09-03,731390,9482,0,265,3,224
9500927,7092,2022-06-01,670881,8831,6,346,11,366
9007052,6575,2022-01-25,383675,6842,5,252,22,252
9007409,6549,2022-02-14,375043,6046,1,200,10,323
10031585,7222,2022-08-25,787856,9632,12,485,15,349
9363667,7071,2022-05-29,640380,8911,2,323,4,218
10900998,7430,2022-11-29,1082211,11101,8,252,20,606
7378345,5626,2021-03-25,143235,3106,344,6,24,102
8650308,6334,2021-11-01,464996,10909,5,250,35,194
8747499,6206,2021-10-03,382143,10360,2,117,3,199
9688444,7124,2022-07-22,763272,10437,1,534,24,602
9005871,6536,2022-02-25,364067,5607,0,469,16,587
9135353,6681,2022-03-09,513980,8173,12,298,12,470
9007231,6545,2022-02-23,367905,5754,13,433,16,466
7793036,5722,2021-05-05,203206,6358,13,60,19,470
8054447,5795,2021-07-23,361931,9847,2,64,14,118
7406958,5629,2021-03-26,159293,3226,3,26,15,51
8782975,6467,2021-11-12,437546,8913,3,386,6,304
8811762,6315,2021-10-26,455397,10150,24,235,24,402
8257176,6198,2021-09-11,432153,10862,0,131,12,146
10205115,7221,2022-09-18,792562,9211,18,247,2,276
10113496,7238,2022-09-10,773477,9413,2,336,0,294
7484914,5660,2021-04-04,164984,4153,1,23,2,35
10967439,7417,2022-12-02,1126006,11210,0,255,24,303
10721411,7421,2022-10-27,1085350,11844,8,515,16,898
8758068,6494,2021-11-24,455103,7983,0,210,9,136
8103647,5791,2021-07-13,345341,9445,7,74,12,93
9075068,6549,2022-01-05,412632,7460,8,358,9,314
10870867,7429,2022-11-24,1078148,11181,1,47,2,23
9546945,7130,2022-06-18,667542,8984,0,346,2,370
9448788,7059,2022-05-23,631851,8847,2,236,14,504
9428329,6978,2022-05-12,622401,8400,5,370,9,430
8764623,6500,2021-12-06,430830,9097,6,601,11,292
8682095,6159,2021-09-25,391185,10547,2,96,2,124
9199909,6833,2022-04-02,500967,7494,0,280,0,389
10547625,7336,2022-10-13,952466,11177,14,378,26,919
7342189,5629,2021-03-20,136858,2834,1,34,20,59
10141393,7229,2022-09-07,747195,9300,8,320,18,320
9496139,7073,2022-05-28,658921,8780,0,421,1,461
9139223,6695,2022-03-11,504407,8205,0,405,17,373
10155939,7214,2022-09-16,771241,9086,0,428,11,503
9010697,6581,2022-01-18,394870,7194,5,281,5,298
9442865,6990,2022-05-11,634216,8586,3,298,33,385
10860126,7462,2022-11-16,1134047,11781,4,613,7,663
8989458,6564,2022-01-09,387352,7819,2,97,0,101
8930027,6559,2021-12-25,418202,7972,0,186,1,167
8777695,6483,2021-11-30,458597,7848,9,223,17,200
8254304,6132,2021-09-04,403891,10222,0,107,2,352
8971661,6557,2022-01-01,435158,7859,0,120,1,152
8695691,6141,2021-09-27,385532,10553,6,104,14,116
10816087,7439,2022-11-18,1114406,11933,0,161,11,17
9871499,7208,2022-08-21,719922,9060,5,412,0,251
9005871,6536,2022-02-28,361771,5595,4,295,9,296
7439652,5639,2021-03-27,161384,3232,1,16,18,335
10728467,7445,2022-11-08,1138371,12023,5,442,22,427
11216659,7476,2022-12-17,1145231,11569,1,82,0,7
9563694,7057,2022-07-10,675839,9878,8,319,0,329
9691776,7142,2022-07-21,783225,11145,19,688,11,364
10728065,7429,2022-11-09,1127517,11597,15,408,7,491
8723461,6297,2021-10-25,447775,10256,4,285,2,154
9213182,6740,2022-03-22,509637,8000,5,312,7,347
10367026,7287,2022-09-30,868330,10563,0,447,20,563
10013115,7198,2022-09-04,690186,9396,0,249,1,253
7477616,5655,2021-04-05,173109,4155,4,9,6,20
7921967,5680,2021-05-16,262029,7803,100,26,1,195
8809983,6308,2021-10-21,413875,10084,3,247,29,251
9007055,6576,2022-01-24,384720,6865,4,196,5,228
8058278,5678,2021-05-27,287368,11005,8,415,27,134
9583712,7162,2022-08-07,713194,10124,9,147,1,225
9007255,6546,2022-02-20,368206,5777,1,219,2,420
7392329,5626,2021-03-29,155205,3836,2,16,1,68
8257179,6199,2021-09-13,432825,10870,3,174,9,141
7697788,5689,2021-04-27,180023,6375,4,130,16,38
10293244,7280,2022-10-03,847085,10613,3,515,20,570
10009951,7214,2022-09-12,742261,9305,2,300,25,361
7976512,5702,2021-05-13,271294,7804,9,158,17,69
8954242,6570,2021-12-20,380603,8032,3,116,3,152
8724238,6467,2021-11-29,451368,7822,6,65,10,74
8571260,6121,2021-09-15,423277,10917,19,116,18,110
9141086,6848,2022-04-11,529276,8326,2,183,9,313
8710569,6235,2021-10-13,379338,10152,19,193,9,218
10704529,7418,2022-11-05,1063668,11556,0,327,3,360
8818790,6521,2021-12-07,444103,8742,12,1175,26,495
9539961,7078,2022-05-21,677113,9092,0,305,3,370
10808055,7411,2022-11-26,1089961,11070,0,50,0,34
9688892,7024,2022-07-01,713654,9183,0,420,0,381
10101220,7216,2022-09-02,759673,9553,0,308,2,274
8903699,6549,2021-12-15,423794,7974,1,342,18,435
8150071,5880,2021-08-05,353119,10126,5,110,25,135
7330384,5605,2021-03-18,134838,2666,3,10,34,89
7470654,5656,2021-04-06,172792,4168,10,13,12,75
8675408,6323,2021-10-29,456992,10539,7,497,10,141
8088330,5754,2021-07-01,353456,10025,2,76,15,134
8963850,6551,2022-01-03,410734,7856,6,151,0,143
7650893,5691,2021-04-22,184250,5981,16,40,18,53
9010697,6581,2022-01-16,398295,7414,12,282,0,221
7196728,5562,2021-03-11,112469,2205,8,10,28,14
10538685,7315,2022-10-12,950919,10986,11,656,13,472
9386686,6914,2022-04-29,577628,7706,2,301,10,372
8697905,6165,2021-09-28,400895,10627,20,134,24,244
9044279,6410,2022-03-01,383708,5616,3,435,12,392
7997205,5636,2021-05-18,267572,8079,8,60,38,177
9549514,7080,2022-05-24,674158,9234,4,403,7,307
9053104,6510,2022-03-02,431500,6182,5,366,15,564
8029655,5773,2021-07-20,323065,9635,0,28,17,112
8029595,5975,2021-07-19,323843,9697,4,46,13,106
7997735,5665,2021-05-25,292274,11274,8,485,18,217
9007036,6574,2022-01-28,381800,6739,0,289,10,377
8073665,5736,2021-07-05,331411,10181,4,313,0,96
7815000,5712,2021-04-30,216472,6730,2,23,33,75
