service_type,service_id,num_endpoints
illfitting,16162,1
illfitting,16139,1
illfitting,01081,1
regular,07283,22
illfitting,10145,1
regular,01543,4
regular,18091,4
regular,17920,4
regular,08063,2
illfitting,12511,2
illfitting,11831,1
regular,06680,2
illfitting,09300,1
illfitting,01763,2
illfitting,06174,1
illfitting,01820,2
illfitting,07602,2
regular,03414,1
illfitting,15864,1
illfitting,14298,1
illfitting,13379,1
regular,10831,1
illfitting,09162,1
illfitting,15541,1
illfitting,09499,1
regular,14478,8
illfitting,09478,1
illfitting,05391,4
regular,03067,4
illfitting,13175,1
regular,00716,1
regular,18415,9
illfitting,09481,1
regular,10818,1
illfitting,01252,1
regular,04525,1
illfitting,15891,1
illfitting,02041,1
illfitting,01652,2
illfitting,04884,1
regular,06795,3
illfitting,09255,1
illfitting,01674,2
illfitting,01619,2
illfitting,13285,1
regular,14495,8
illfitting,03900,1
illfitting,02635,1
illfitting,06944,1
regular,16081,1
regular,05576,2
illfitting,15203,1
illfitting,14995,1
regular,07956,4
illfitting,17345,2
illfitting,11399,2
illfitting,00488,2
illfitting,01772,2
illfitting,04221,1
illfitting,07524,1
illfitting,15645,1
illfitting,16177,1
regular,07683,21
illfitting,14956,1
illfitting,08985,1
regular,05733,3
illfitting,08677,1
illfitting,02933,1
illfitting,09533,1
illfitting,11351,1
illfitting,05866,1
illfitting,14029,1
illfitting,08296,1
illfitting,14142,1
regular,10372,4
illfitting,01471,1
illfitting,02606,1
illfitting,09048,1
illfitting,03040,1
regular,07652,2
regular,14632,1
illfitting,14955,1
illfitting,17402,3
regular,10749,9
regular,09658,2
regular,17755,1
illfitting,08290,1
regular,06631,2
illfitting,13295,1
regular,09644,4
regular,07089,9
illfitting,10240,1
regular,05635,3
illfitting,03013,1
regular,11448,1
illfitting,03649,1
illfitting,04704,1
regular,18575,1405
illfitting,15938,2
illfitting,15298,1
regular,18291,4
illfitting,11085,1
illfitting,03815,1
regular,06491,4
illfitting,11037,1
illfitting,08145,1
illfitting,01677,2
regular,12835,2
illfitting,12425,1
illfitting,01930,1
illfitting,01264,1
